Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
2000,59.0,3024.11,26.55,Saudi Arabia,Sorghum,13384
2012,652.0,8002.2,18.82,Greece,Sweet potatoes,199034
2006,3240.0,98328.63,27.51,Colombia,Maize,25368
2010,657.0,3305.17,21.17,Zimbabwe,Potatoes,166825
2007,1410.0,5689.8,27.08,Dominican Republic,Sweet potatoes,75696
1991,1083.0,72133.0,27.35,India,Cassava,218925
2002,1083.0,42482.56,26.12,India,Sweet potatoes,85694
2007,1083.0,27422.77,27.55,India,Wheat,27079
2002,1668.0,70262.54,16.09,Japan,Potatoes,334130
2012,748.0,843.0,28.67,Burkina Faso,Maize,18386
2002,832.0,94211.0,8.15,Italy,Sweet potatoes,113661
2011,1668.0,51796.3,15.62,Japan,"Rice, paddy",66624
2006,1083.0,37423.0,25.78,India,Wheat,26188
1996,2280.0,2041.7,26.76,Nicaragua,Potatoes,144737
2011,1020.0,1670.0,20.88,Zambia,Sorghum,8223
2007,1651.0,400.55,27.28,Guinea,Cassava,80249
1997,537.0,38258.2,6.72,Canada,Wheat,21285
2013,1732.0,5086.0,13.57,New Zealand,Wheat,91053
2005,593.0,40332.0,19.44,Turkey,Wheat,23309
2007,1083.0,27422.77,26.0,India,Wheat,27079
2000,608.0,2876.0,9.9,Bulgaria,Maize,17239
1997,1083.0,52279.0,26.38,India,"Rice, paddy",28457
2011,1761.0,345026.0,27.29,Brazil,Potatoes,262528
1992,494.0,5518.0,18.34,Pakistan,Wheat,19910
2005,2051.0,909.71,27.34,Jamaica,"Rice, paddy",30000
1992,92.0,39.09,27.52,Mauritania,Yams,70000
2004,216.0,828.62,20.0,Iraq,Soybeans,10000
1995,1010.0,336.0,24.56,Angola,Potatoes,76738
1995,1651.0,153.0,27.23,Guinea,"Rice, paddy",17122
2013,59.0,5412.5,27.78,Saudi Arabia,Wheat,64333
1991,216.0,692.0,23.21,Iraq,"Rice, paddy",22008
2005,1010.0,40.0,24.41,Angola,"Rice, paddy",6977
2006,282.0,11.87,27.62,Mali,Sorghum,8393
2007,151.0,30.57,29.85,Niger,Potatoes,147395
